run,run_short,raw_step,effective_step,metric,value
Pure Stage1 beta=0.1,stage1,67,67,actor grad norm,29.6429443359375
Pure Stage1 beta=0.1,stage1,68,68,response length mean,348.220703125
Pure Stage1 beta=0.1,stage1,68,68,response clip ratio,0.009765625
Pure Stage1 beta=0.1,stage1,68,68,rollout correct ratio,0.60546875
Pure Stage1 beta=0.1,stage1,68,68,actor grad norm,29.43528938293457
Pure Stage1 beta=0.1,stage1,69,69,response length mean,376.546875
Pure Stage1 beta=0.1,stage1,69,69,response clip ratio,0.013671875
Pure Stage1 beta=0.1,stage1,69,69,rollout correct ratio,0.640625
Pure Stage1 beta=0.1,stage1,69,69,actor grad norm,29.022111892700195
Pure Stage1 beta=0.1,stage1,70,70,response length mean,481.466796875
Pure Stage1 beta=0.1,stage1,70,70,response clip ratio,0.0234375
Pure Stage1 beta=0.1,stage1,70,70,rollout correct ratio,0.541015625
Pure Stage1 beta=0.1,stage1,70,70,actor grad norm,50.147132873535156
Pure Stage1 beta=0.1,stage1,71,71,response length mean,441.865234375
Pure Stage1 beta=0.1,stage1,71,71,response clip ratio,0.013671875
Pure Stage1 beta=0.1,stage1,71,71,rollout correct ratio,0.6015625
Pure Stage1 beta=0.1,stage1,71,71,actor grad norm,31.14604377746582
Pure Stage1 beta=0.1,stage1,72,72,response length mean,370.57421875
Pure Stage1 beta=0.1,stage1,72,72,response clip ratio,0.0234375
Pure Stage1 beta=0.1,stage1,72,72,rollout correct ratio,0.482421875
Pure Stage1 beta=0.1,stage1,72,72,actor grad norm,37.618377685546875
Pure Stage1 beta=0.1,stage1,73,73,response length mean,341.095703125
Pure Stage1 beta=0.1,stage1,73,73,response clip ratio,0.01171875
Pure Stage1 beta=0.1,stage1,73,73,rollout correct ratio,0.5546875
Pure Stage1 beta=0.1,stage1,73,73,actor grad norm,38.222049713134766
Pure Stage1 beta=0.1,stage1,74,74,response length mean,340.990234375
Pure Stage1 beta=0.1,stage1,74,74,response clip ratio,0.00390625
Pure Stage1 beta=0.1,stage1,74,74,rollout correct ratio,0.48046875
Pure Stage1 beta=0.1,stage1,74,74,actor grad norm,33.0184326171875
Pure Stage1 beta=0.1,stage1,75,75,response length mean,436.978515625
Pure Stage1 beta=0.1,stage1,75,75,response clip ratio,0.0234375
Pure Stage1 beta=0.1,stage1,75,75,rollout correct ratio,0.6484375
Pure Stage1 beta=0.1,stage1,75,75,actor grad norm,29.297685623168945
Pure Stage1 beta=0.1,stage1,76,76,response length mean,363.486328125
Pure Stage1 beta=0.1,stage1,76,76,response clip ratio,0.01953125
Pure Stage1 beta=0.1,stage1,76,76,rollout correct ratio,0.654296875
Pure Stage1 beta=0.1,stage1,76,76,actor grad norm,27.75286865234375
Pure Stage1 beta=0.1,stage1,77,77,response length mean,329.2734375
Pure Stage1 beta=0.1,stage1,77,77,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,77,77,rollout correct ratio,0.607421875
Pure Stage1 beta=0.1,stage1,77,77,actor grad norm,28.653087615966797
Pure Stage1 beta=0.1,stage1,78,78,response length mean,337.236328125
Pure Stage1 beta=0.1,stage1,78,78,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,78,78,rollout correct ratio,0.4765625
Pure Stage1 beta=0.1,stage1,78,78,actor grad norm,35.382816314697266
Pure Stage1 beta=0.1,stage1,79,79,response length mean,304.982421875
Pure Stage1 beta=0.1,stage1,79,79,response clip ratio,0.001953125
Pure Stage1 beta=0.1,stage1,79,79,rollout correct ratio,0.583984375
Pure Stage1 beta=0.1,stage1,79,79,actor grad norm,31.920001983642578
Pure Stage1 beta=0.1,stage1,80,80,response length mean,344.41015625
Pure Stage1 beta=0.1,stage1,80,80,response clip ratio,0.005859375
Pure Stage1 beta=0.1,stage1,80,80,rollout correct ratio,0.65625
Pure Stage1 beta=0.1,stage1,80,80,actor grad norm,29.298433303833008
Pure Stage1 beta=0.1,stage1,81,81,response length mean,311.48046875
Pure Stage1 beta=0.1,stage1,81,81,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,81,81,rollout correct ratio,0.55078125
Pure Stage1 beta=0.1,stage1,81,81,actor grad norm,33.262054443359375
Pure Stage1 beta=0.1,stage1,82,82,response length mean,338.01171875
Pure Stage1 beta=0.1,stage1,82,82,response clip ratio,0.00390625
Pure Stage1 beta=0.1,stage1,82,82,rollout correct ratio,0.494140625
Pure Stage1 beta=0.1,stage1,82,82,actor grad norm,38.50038146972656
